intervention_type,action_code,study,year,design,setting,sample_size,effect_measure,effect_size,ci_lower,ci_upper,p_value,notes
SMS reminder,a1,"Eze et al. (meta-analysis)",2021,Systematic review + meta-analysis,"18 LMICs",32712,RR (coverage),1.16,1.10,1.21,<0.001,"Pooled across 19 interventions; I2=90.4%"
SMS reminder,a1,"Eze et al. (meta-analysis)",2021,Systematic review + meta-analysis,"18 LMICs",25257,RR (timeliness),1.21,1.12,1.30,<0.001,"12 studies; I2=87.3%"
SMS reminder,a1,"Eze et al. — low-income countries",2021,Subgroup analysis,"Low-income countries",NA,RR (coverage),1.39,1.19,1.62,<0.001,"Strongest effect in low-income settings"
SMS reminder,a1,"Eze et al. — lower-middle-income",2021,Subgroup analysis,"Lower-middle-income",NA,RR (coverage),1.19,1.13,1.26,<0.001,"Moderate effect"
SMS reminder,a1,"Mekonnen et al.",2021,RCT,"Northwest Ethiopia",NA,RR (completion),1.47,1.23,1.76,<0.001,"Superiority trial; strong effect in rural setting"
SMS reminder,a1,"Recent Africa meta-analysis",2025,Systematic review + meta-analysis,Africa,NA,OR (vaccination),2.15,1.70,2.72,<0.001,"14 RCTs + 4 quasi-experiments; mHealth interventions broadly"
CHW home visit,a2,"Brugha et al.",2008,Controlled trial,"Urban Ghana",NA,Absolute increase,25pp,NA,NA,<0.005,"Coverage rose from 60% to 85%; 25pp above control"
CHW home visit,a2,"General evidence synthesis",2024,Multiple RCTs,"Africa (multiple)",NA,"Risk difference",+15-25pp,NA,NA,<0.05,"Range from multiple studies of CHW vaccination interventions"
CHW home visit,a2,"Meta-analysis of vaccination strategies",2025,Meta-analysis,Mixed,88 RCTs,OR (access enhancement),3.31,2.18,5.04,<0.001,"Access enhancement strongest in lower-income countries; d=0.66"
Facility recall + defaulter tracing,a3,"Indonesia cluster-RCT (HBR + sticker)",2020,Cluster-RCT,Indonesia,NA,Hazard ratio,1.50,NA,NA,<0.05,"50% more likely to receive DTPcv3 within 60 days of DTPcv1"
Facility recall + defaulter tracing,a3,"Cochrane review of reminder-recall",2018,Systematic review,Mixed,NA,OR (immunisation),1.48,1.28,1.72,<0.001,"Multi-component reminder-recall with outreach has greater impact"
Facility recall + defaulter tracing,a3,"General evidence synthesis",2024,Multiple studies,Mixed,NA,"Risk difference",+20-30pp,NA,NA,<0.05,"Range estimate combining reminder-recall with defaulter tracing"
Conditional incentive,a4,"New Incentives Nigeria RCT",2020,RCT,"Nigeria (Jigawa Katsina Zamfara)",NA,"Percentage point increase",9-18pp,NA,NA,<0.05,"Largest vaccine incentive impact in published literature; cost $18.21/child"
Conditional incentive,a4,"Banerjee et al. (India lentils)",2010,RCT,"Rural Udaipur India",NA,"Absolute increase",22pp,NA,NA,<0.001,"38% vs 16% full immunisation; noncash incentive ~EUR1"
Conditional incentive,a4,"Pakistan mCCT trial",2022,Multi-arm RCT,Pakistan,12000,OR (vaccination),1.30,NA,NA,<0.05,"SMS + cash incentives; varied payment amounts PKR80-240/visit"
Conditional incentive,a4,"Meta-analysis of vaccination strategies",2025,Meta-analysis,Mixed,88 RCTs,OR (incentives),1.34,1.08,1.67,0.03,"Cohen's d=0.16; consistent positive effects"
No intervention (baseline),a0,NA,NA,NA,NA,NA,RR,1.00,NA,NA,NA,"Reference category"
